s,Pc
864.0,0.16034
865.0,0.16034
866.0,0.16034
867.0,0.16034
868.0,0.16034
869.0,0.16034
870.0,0.16034
871.0,0.16034
872.0,0.16034
873.0,0.16034
874.0,0.16034
875.0,0.16034
876.0,0.16034
877.0,0.16034
878.0,0.16034
879.0,0.16034
880.0,0.16034
881.0,0.16034
882.0,0.16034
883.0,0.16034
884.0,0.16034
885.0,0.16034
886.0,0.16034
887.0,0.16034
888.0,0.16034
889.0,0.16034
890.0,0.16034
891.0,0.16034
892.0,0.16034
893.0,0.16034
894.0,0.16034
895.0,0.16034
896.0,0.16034
897.0,0.16034
898.0,0.16034
899.0,0.16034
900.0,0.16034
901.0,0.16034
902.0,0.16034
903.0,0.16034
904.0,0.16034
905.0,0.16034
906.0,0.16034
907.0,0.16034
908.0,0.16034
909.0,0.16034
910.0,0.16034
911.0,0.16034
912.0,0.16034
913.0,0.16034
914.0,0.16034
915.0,0.16034
916.0,0.16034
917.0,0.16034
918.0,0.16034
919.0,0.16034
920.0,0.16034
921.0,0.16034
922.0,0.16034
923.0,0.16034
924.0,0.16034
925.0,0.16034
926.0,0.16034
927.0,0.16034
928.0,0.16034
929.0,0.16034
930.0,0.16034
931.0,0.16034
932.0,0.16034
933.0,0.16034
934.0,0.16034
935.0,0.16034
936.0,0.16034
937.0,0.16034
938.0,0.16034
939.0,0.16034
940.0,0.16034
941.0,0.16034
942.0,0.16034
943.0,0.16034
944.0,0.16034
945.0,0.16034
946.0,0.16034
947.0,0.16034
948.0,0.16034
949.0,0.16034
950.0,0.16034
951.0,0.16034
952.0,0.16034
953.0,0.16034
954.0,0.16034
955.0,0.16034
956.0,0.16034
957.0,0.16034
958.0,0.16034
959.0,0.16034
960.0,0.16034
961.0,0.16034
962.0,0.16034
963.0,0.16034
964.0,0.16034
965.0,0.16034
966.0,0.16034
967.0,0.16034
968.0,0.16034
969.0,0.16034
970.0,0.16034
971.0,0.16034
972.0,0.16034
973.0,0.16034
974.0,0.16034
975.0,0.16034
976.0,0.16034
977.0,0.16034
978.0,0.16034
979.0,0.16034
980.0,0.16034
981.0,0.16034
982.0,0.16034
983.0,0.16034
984.0,0.16034
985.0,0.16034
986.0,0.16034
987.0,0.16034
988.0,0.16034
989.0,0.16034
990.0,0.16034
991.0,0.16034
992.0,0.16034
993.0,0.16034
994.0,0.16034
995.0,0.16034
996.0,0.16034
997.0,0.16034
998.0,0.16034
999.0,0.16034
1000.0,0.16034
1001.0,0.16034
1002.0,0.16034
1003.0,0.16034
1004.0,0.16034
1005.0,0.16034
1006.0,0.16034
1007.0,0.16034
1008.0,0.16034
1009.0,0.16034
1010.0,0.16034
1011.0,0.16034
1012.0,0.16034
1013.0,0.16034
1014.0,0.16034
1015.0,0.16034
1016.0,0.16034
1017.0,0.16034
1018.0,0.16034
1019.0,0.16034
1020.0,0.16034
1021.0,0.16034
1022.0,0.16034
1023.0,0.16034
1024.0,0.16034
1025.0,0.16034
1026.0,0.16034
1027.0,0.16034
